id_usuario;img_perfil_usuario;nombre_usuario;apellido_usuario;username_usuario;password_usuario;email_usuario;telefono_usuario;token_usuario;method_usuario;deseos_usuario;fecha_creacion_usuario;fecha_modificacion_usuario
0;;admin0;;admin0;password;admin0@yopmail.com;;;;;;
1;;admin1;;admin1;;admin1@yopmail.com;;;;;;
2;;admin2;;admin2;;admin2@yopmail.com;;;;;;
3;;admin3;;admin3;;admin3@yopmail.com;;;;;;
4;;admin4;;admin4;;admin4@yopmail.com;;;;;;
5;;admin5;;admin5;;admin5@yopmail.com;;;;;;
6;;admin6;;admin6;;admin6@yopmail.com;;;;;;
7;;admin7;;admin7;;admin7@yopmail.com;;;;;;
8;;admin8;;admin8;;admin8@yopmail.com;;;;;;
9;;admin9;;admin9;;admin9@yopmail.com;;;;;;
10;;Cliente0;;Cliente0;password;Cliente0@yopmail.com;;;;;;
11;;Cliente1;;Cliente1;;Cliente1@yopmail.com;;;;;;
12;;Cliente2;;Cliente2;;Cliente2@yopmail.com;;;;;;
13;;Cliente3;;Cliente3;;Cliente3@yopmail.com;;;;;;
14;;Cliente4;;Cliente4;;Cliente4@yopmail.com;;;;;;
15;;Cliente5;;Cliente5;;Cliente5@yopmail.com;;;;;;
16;;Cliente6;;Cliente6;;Cliente6@yopmail.com;;;;;;
17;;Cliente7;;Cliente7;;Cliente7@yopmail.com;;;;;;
18;;Cliente8;;Cliente8;;Cliente8@yopmail.com;;;;;;
19;;Cliente9;;Cliente9;;Cliente9@yopmail.com;;;;;;
20;;Proveedor0;;Proveedor0;password;Proveedor0@yopmail.com;;;;;;
21;;Proveedor1;;Proveedor1;;Proveedor1@yopmail.com;;;;;;
22;;Proveedor2;;Proveedor2;;Proveedor2@yopmail.com;;;;;;
23;;Proveedor3;;Proveedor3;;Proveedor3@yopmail.com;;;;;;
24;;Proveedor4;;Proveedor4;;Proveedor4@yopmail.com;;;;;;
25;;Proveedor5;;Proveedor5;;Proveedor5@yopmail.com;;;;;;
26;;Proveedor6;;Proveedor6;;Proveedor6@yopmail.com;;;;;;
27;;Proveedor7;;Proveedor7;;Proveedor7@yopmail.com;;;;;;
28;;Proveedor8;;Proveedor8;;Proveedor8@yopmail.com;;;;;;
29;;Proveedor9;;Proveedor9;;Proveedor9@yopmail.com;;;;;;
30;;mecanico0;;mecanico0;password;mecanico0@yopmail.com;;;;;;
31;;mecanico1;;mecanico1;;mecanico1@yopmail.com;;;;;;
32;;mecanico2;;mecanico2;;mecanico2@yopmail.com;;;;;;
33;;mecanico3;;mecanico3;;mecanico3@yopmail.com;;;;;;
34;;mecanico4;;mecanico4;;mecanico4@yopmail.com;;;;;;
35;;mecanico5;;mecanico5;;mecanico5@yopmail.com;;;;;;
36;;mecanico6;;mecanico6;;mecanico6@yopmail.com;;;;;;
37;;mecanico7;;mecanico7;;mecanico7@yopmail.com;;;;;;
38;;mecanico8;;mecanico8;;mecanico8@yopmail.com;;;;;;
39;;mecanico9;;mecanico9;;mecanico9@yopmail.com;;;;;;
40;;Repartidor0;;Repartidor0;password;Repartidor0@yopmail.com;;;;;;
41;;Repartidor1;;Repartidor1;;Repartidor1@yopmail.com;;;;;;
42;;Repartidor2;;Repartidor2;;Repartidor2@yopmail.com;;;;;;
43;;Repartidor3;;Repartidor3;;Repartidor3@yopmail.com;;;;;;
44;;Repartidor4;;Repartidor4;;Repartidor4@yopmail.com;;;;;;
45;;Repartidor5;;Repartidor5;;Repartidor5@yopmail.com;;;;;;
46;;Repartidor6;;Repartidor6;;Repartidor6@yopmail.com;;;;;;
47;;Repartidor7;;Repartidor7;;Repartidor7@yopmail.com;;;;;;
48;;Repartidor8;;Repartidor8;;Repartidor8@yopmail.com;;;;;;
49;;Repartidor9;;Repartidor9;;Repartidor9@yopmail.com;;;;;;
